conf,session,session_dir,n_files,n_bad_files,n_utts,n_idea,n_nodes,n_moves,n_speakers_idea,n_roster,roster_match_rate,unmatched_speakers,speaking_seconds,n_links,n_unresolved_moves,basis_named_speaker,basis_on_table_idea,basis_nearest_prior,pct_named_speaker,pct_nearest_prior,pct_links_to_extracted,has_teams,num_teams,num_funded_teams,is_focal,ok_complete,ok_material,ok_group,ok_length,ok_roster,ok_grounded,eligible
2021ABI,2021_05_21_ABI_S16,outputs/2021ABI/output_2021_05_21_ABI_S16,7,0,115,22,4,18,7,10,1.0,,0,18,0,1,10,7,0.056,0.389,0.111,False,0,0,False,True,False,False,True,True,False,False
2021ABI,2021_05_21_ABI_S2,outputs/2021ABI/output_2021_05_21_ABI_S2,8,0,103,20,6,14,9,13,1.0,,0,14,0,1,5,8,0.071,0.571,0.143,False,0,0,False,True,False,True,True,True,False,False
2021ABI,2021_05_21_ABI_S3,outputs/2021ABI/output_2021_05_21_ABI_S3,10,0,159,22,5,17,6,10,1.0,,0,17,0,0,11,6,0.0,0.353,0.0,True,1,0,False,True,False,False,True,True,False,False
2021ABI,2021_05_21_ABI_S4,outputs/2021ABI/output_2021_05_21_ABI_S4,9,0,156,36,14,22,9,12,1.0,,0,22,0,2,11,9,0.091,0.409,0.091,True,2,0,False,True,True,True,True,True,False,False
2021ABI,2021_05_21_ABI_S5,outputs/2021ABI/output_2021_05_21_ABI_S5,10,0,174,59,17,42,10,12,1.0,,0,42,0,1,22,19,0.024,0.452,0.024,False,0,0,False,True,True,True,True,True,False,False
2021ABI,2021_05_21_ABI_S6,outputs/2021ABI/output_2021_05_21_ABI_S6,10,0,158,32,9,24,10,13,1.0,,0,24,0,5,16,3,0.208,0.125,0.208,False,0,0,False,True,False,True,True,True,True,False
2021ABI,2021_05_21_ABI_S7,outputs/2021ABI/output_2021_05_21_ABI_S7,8,0,112,23,6,17,11,13,1.0,,0,16,1,3,9,4,0.188,0.25,0.188,True,3,1,False,True,False,True,True,True,True,False
2021ABI,2021_05_21_ABI_S8,outputs/2021ABI/output_2021_05_21_ABI_S8,8,0,166,47,16,32,9,16,1.0,,0,31,1,0,15,16,0.0,0.516,0.0,True,3,0,False,True,True,True,True,True,False,False
2021ABI,2021_05_21_ABI_S9,outputs/2021ABI/output_2021_05_21_ABI_S9,7,0,103,20,5,15,9,12,1.0,,0,14,1,1,5,8,0.071,0.571,0.143,True,2,0,False,True,False,True,True,True,False,False
2021CMC,2021_10_07_CMC_S1,outputs/2021CMC/output_2021_10_07_CMC_S1,8,0,239,57,14,46,11,12,1.0,,0,47,0,12,19,16,0.255,0.34,0.255,True,1,1,False,True,True,True,False,True,True,False
